date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1887,2,316441,fugue,fugue,Fugue(s)?,0,0.0
1887,2,316441,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1887,2,316441,hypnose,hypnose,Hypnose(s)?,3,9.48044
1887,2,316441,hystérie,hysterie,Hystérie(s)?,125,395.018345
1887,2,316441,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,4,12.640587
1887,2,316441,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1887,2,316441,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1887,2,316441,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,2,6.320294
1887,2,316441,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1887,2,316441,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1887,2,316441,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),4,12.640587
1887,2,316441,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1887,2,316441,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,7,22.121027
1887,2,316441,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1887,2,316441,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1887,2,316441,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1887,2,316441,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,4,12.640587
